Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2008-06-20,22745.599609375,23411.630859375,22745.599609375,22817.990234375,2389600000.0
2008-06-23,22714.9609375,22830.4296875,22384.580078125,22407.08984375,1772600000.0
2008-06-24,22456.01953125,22731.490234375,22456.01953125,22697.259765625,1738800000.0
2008-06-25,22635.16015625,22827.560546875,22567.9296875,22745.169921875,1404600000.0
2008-06-26,22455.669921875,22885.349609375,22441.470703125,22742.5390625,1858500000.0
2008-06-27,22042.349609375,22201.470703125,21773.669921875,21901.26953125,2215900000.0
2008-06-30,22102.009765625,22237.919921875,21997.689453125,22237.919921875,1489400000.0
2008-07-01,22102.009765625,22237.919921875,21997.689453125,22237.919921875,1489400000.0
2008-07-02,21704.44921875,21938.19921875,21555.529296875,21785.390625,2548600000.0
2008-07-03,21242.779296875,21742.0703125,21163.5703125,21389.490234375,2725300000.0
2008-07-04,21423.8203125,21534.05078125,21344.849609375,21402.169921875,1796300000.0
2008-07-07,21913.060546875,21916.2109375,21402.69921875,21402.69921875,1964600000.0
2008-07-08,21220.810546875,21684.2109375,21098.83984375,21632.69921875,2015200000.0
2008-07-09,21805.810546875,21954.169921875,21531.970703125,21740.859375,2691200000.0
2008-07-10,21821.779296875,22020.66015625,21498.869140625,21562.0703125,2512100000.0
2008-07-11,22184.55078125,22225.380859375,21761.0390625,21834.640625,2163700000.0
2008-07-14,22014.4609375,22360.2890625,21871.599609375,22205.0,1494900000.0
2008-07-15,21174.76953125,21644.0390625,21077.240234375,21644.0390625,2140100000.0
2008-07-16,21223.5,21334.380859375,20988.740234375,20988.740234375,1784100000.0
2008-07-17,21734.720703125,21892.529296875,21672.26953125,21825.240234375,2289900000.0
2008-07-18,21874.189453125,22010.939453125,21677.150390625,22010.939453125,1842100000.0
2008-07-21,22532.900390625,22645.51953125,22455.009765625,22523.279296875,2571600000.0
2008-07-22,22527.48046875,22690.740234375,22393.140625,22430.58984375,1505900000.0
2008-07-23,23134.55078125,23134.55078125,22871.0390625,22900.76953125,2586700000.0
2008-07-24,23087.720703125,23369.05078125,23062.619140625,23330.890625,2589700000.0
2008-07-25,22740.7109375,22843.19921875,22542.080078125,22751.509765625,1917700000.0
2008-07-28,22687.2109375,22862.029296875,22619.23046875,22801.849609375,1081800000.0
2008-07-29,22258.0,22265.9296875,22089.08984375,22265.9296875,1403200000.0
2008-07-30,22690.599609375,22751.0390625,22573.1796875,22637.330078125,1968700000.0
2008-07-31,22731.099609375,22878.759765625,22695.73046875,22878.759765625,1572700000.0
2008-08-01,22862.599609375,22881.26953125,22207.310546875,22497.900390625,1800200000.0
2008-08-04,22514.919921875,22713.580078125,22425.130859375,22630.58984375,1293100000.0
2008-08-05,21949.75,22225.060546875,21739.220703125,22225.060546875,1946700000.0
2008-08-06,21949.75,22225.060546875,21739.220703125,22225.060546875,1946700000.0
2008-08-07,22104.19921875,22424.5390625,21915.279296875,22403.259765625,2172200000.0
2008-08-08,21885.2109375,22230.55078125,21690.599609375,21997.640625,1737900000.0
2008-08-11,21859.33984375,22235.509765625,21859.33984375,22020.5390625,1549100000.0
2008-08-12,21640.890625,22309.330078125,21640.890625,21992.1796875,1868400000.0
2008-08-13,21293.3203125,21665.75,21223.380859375,21270.859375,3083100000.0
2008-08-14,21392.7109375,21453.48046875,21109.009765625,21302.69921875,2250400000.0
2008-08-15,21160.580078125,21383.7109375,20994.5390625,21383.7109375,1450500000.0
2008-08-18,20930.669921875,21206.599609375,20751.140625,21163.009765625,1318400000.0
2008-08-19,20484.369140625,20902.509765625,20484.369140625,20675.75,1387900000.0
2008-08-20,20931.259765625,20971.189453125,20388.7890625,20388.7890625,1839000000.0
2008-08-21,20392.060546875,20762.650390625,20350.48046875,20762.650390625,1711500000.0
2008-08-22,20392.060546875,20762.650390625,20350.48046875,20762.650390625,1711500000.0
2008-08-25,21104.7890625,21108.25,20739.48046875,20739.48046875,1915400000.0
2008-08-26,21056.66015625,21173.560546875,20785.80078125,20849.080078125,1382900000.0
